"","NewTitle","Release_Date.x","Number","Movie_Title","Movie_Type","National_Spectator_Number","Running_Time","Revenue","Spectator_Number","Screen_Number","Play_Number","Movie_Category","Release_Date.y","Nationality_First","Distributor","Movie_Rate","Genre_Name","Genre1","Genre3","Genre3","Director_Name","Director1","Director3","Director3","Actor_Name","Actor1","Actor3","Actor3"
"1548","바람과함께사라지다",2012-08-08,"57 ","바람과 함께 사라지다","장편",4897551,121,34614661161,4909937,694,78591,"일반영화","2012-08-08","한국","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가",2,"코미디","사극","",1,"김주호","","",21,"차태현","오지호","민효린"
"2586","어메이징스파이더맨",2012-06-28,"58 ","어메이징 스파이더맨","장편",4853123,136,41163951235,4853123,1118,92755,"일반영화","2012-06-28","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","12세이상관람가",1,"액션","","",1,"마크 웹","","",4,"앤드류 가필드","엠마 스톤","마틴 쉰"
"3226","조선명탐정각시투구꽃의비밀",2011-01-27,"59 ","조선명탐정:각시투구꽃의 비밀","장편",4786259,115,35841769500,4786259,634,84189,"일반영화","2011-01-27","한국","쇼박스㈜미디어플렉스","12세이상관람가",2,"코미디","액션","",1,"김석윤","","",11,"김명민","김호연","한지민"
"265","군도민란의시대",2014-07-23,"60 ","군도: 민란의 시대","장편",4771552,137,36984704999,4774717,1394,67236,"일반영화","2014-07-23","한국","쇼박스㈜미디어플렉스","15세이상관람가",2,"사극","액션","",1,"윤종빈","","",11,"하정우","강동원","이성민"
"1645","범죄와의전쟁나쁜놈들전성시대",2012-02-02,"61 ","범죄와의 전쟁: 나쁜놈들 전성시대","장편",4710454,133,36538823500,4719872,713,91889,"일반영화","2012-02-02","한국","쇼박스㈜미디어플렉스","청소년관람불가",2,"범죄","드라마","",1,"윤종빈","","",17,"최민식","하정우","조진웅"
"2690","엣지오브투모로우",2014-06-04,"62 ","엣지 오브 투모로우","장편",4695046,113,38717412201,4697110,801,94527,"일반영화","2014-06-04","미국","워너브러더스 (주)","12세이상관람가",2,"액션","SF","",1,"더그 라이만","","",3,"톰 크루즈","에밀리 블런트","빌 팩스톤"
"2322","신세계",2013-02-21,"63 ","신세계","장편",4682492,134,34881330905,4682492,671,90580,"일반영화","2013-02-21","한국","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가",2,"범죄","액션","",1,"박훈정","","",18,"이정재","최민식","황정민"
"3546","쿵푸팬더",2008-06-05,"64 ","쿵푸 팬더","장편",4673009,92,29996476000,4653929,563,79850,"일반영화","2008-06-05","미국","씨제이엔터테인먼트(주)","전체관람가",4,"애니메이션","코미디","액션",2,"마크 오스본","존 스티븐슨","",5,"더스틴 호프만","루시 루","잭 블랙"
"825","도가니",2011-09-22,"65 ","도가니","장편",4662822,125,35566854800,4662822,756,88337,"일반영화","2011-09-22","한국","씨제이이앤엠(주)","청소년관람불가",1,"드라마","","",1,"황동혁","","",21,"정유미","공유","허재호"
"3467","캐리비안의해적망자의함",2006-07-06,"66 ","캐리비안의 해적 : 망자의 함","장편",4628903,143,23832939000,3911617,456,49636,"일반영화","2006-07-06","미국","브에나비스타인터내셔널코리아","12세관람가",4,"액션","코미디","어드벤처",1,"고어 버빈스키","","",2,"조니 뎁","올랜도 블룸",""
