Movie_Title	Release_Date	Nationality_First	Nationality	Production_Company	Distributor	Movie_Rate	Genre	Director	Actor
관계	2014-08-27	한국	한국	브릿지웍스 엔터테인먼트(주),주식회사 루믹스미디어	브릿지웍스 엔터테인먼트(주)	청소년관람불가	멜로/로맨스,드라마	김명서	토모다 아야카,김경익,진혜경
자이언트 몽키	2014-08-27	미국	미국		(유)조이앤컨텐츠그룹	12세이상관람가	스릴러,SF,액션	브루스 데이비슨	배리 윌리엄스
슈퍼 사이클론 스톰	2014-08-27	미국	미국		스크린조이	15세이상관람가	SF,스릴러	리즈 애덤스	밍나 웬,니콜라스 터투로
닥터 무삭제 감독판	2014-08-26	한국	한국	(주)노마드필름	(주)마인스 엔터테인먼트	청소년관람불가	스릴러,드라마	김성홍	김창완,배소은,서건우
호스트걸의 비밀섹스	2014-08-26	일본	일본		(유)조이앤컨텐츠그룹	청소년관람불가	멜로/로맨스	야마가 타카유키	나루세 코코미
브로큰시티 무삭제 특별판	2014-08-25	미국	미국		(유)조이앤컨텐츠그룹	15세이상관람가	스릴러,범죄	알렌 휴즈	마크 월버그,러셀 크로우
인보카머스	2014-08-21	미국	미국		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	청소년관람불가	공포(호러)	스콧 데릭슨	에릭 바나,에드가 라미레즈,올리비아 문
족구왕	2014-08-21	한국	한국	광화문시네마	KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)	15세이상관람가	코미디,멜로/로맨스,드라마	우문기	안재홍,강봉성,진태철,황승언
꼬마 니콜라의 여름방학	2014-08-21	프랑스	프랑스		(주)나이너스엔터테인먼트	전체관람가	코미디,가족,드라마	로랑 티라르	마테오 부와슬리에,카드 메라드,발레리 르메시에
메밀꽃, 운수 좋은 날, 그리고 봄봄	2014-08-21	한국	한국	한국교육방송공사 EBS,(주)연필로명상하기	이달투	전체관람가	애니메이션	안재훈,한혜진	장광,엄상현,류현경
백투더 씨	2014-08-21	중국	중국		와이드 릴리즈(주)	전체관람가	애니메이션	톰 루	팀 커리,마크 해밀,크리스찬 슬레이터
마더 데레사의 편지	2014-08-21	미국	미국		씨제이이앤엠(주)	전체관람가	드라마	윌리엄 리에드	줄리엣 스티븐슨,룻거 하우어,막스 본 시도우
옹녀뎐	2014-08-21	한국	한국	늘푸른시네마	(주)소나무픽쳐스	청소년관람불가	멜로/로맨스,코미디,사극	경석호	신유주,김태훈,강경우,이한빛,송민혁
브레이킹	2014-08-21	미국	미국		(주)에이블엔터테인먼트	청소년관람불가	액션,스릴러,공포(호러)	프레드랙 안토니제빅	마일로 벤티밀리아,레베카 다 코스타,앤디 맥도웰
왓니껴	2014-08-21	한국	한국	진이엔터테인먼트	(주)씨타마운틴픽쳐스	12세이상관람가	드라마	이동삼	심혜진,전노민,권재원
더 트루스: 무언의 제보자	2014-08-21	미국	미국		(주)미디어데이	청소년관람불가	드라마,스릴러	로드 루리	케이트 베킨세일,맷 딜런,베라 파미가,데이빗 쉼머
박물관을 털어라	2014-08-21	미국	미국		(주)미디어데이	15세이상관람가	코미디,액션,범죄	피터 휴잇	모건 프리먼,크리스토퍼 월큰,윌리엄 H. 머시,마샤 가이 하든
