Movie_Title	Release_Date	Revenue	Spectator_Number	Screen_Number	Play_Number	Nationality	All_Nationality	Distributor
마츠가네 난사사건	2008-03-13	4381000	642	3	130	일본	일본	시네마밸리
마태복음	2005-09-01	1727000	344	1	37	이탈리아	이탈리아	씨네마오병이어(주)
마터스: 천국을 보는 눈	2009-08-06	23570000	2922	3	175	프랑스	프랑스,캐나다	(주)넥스트엔터테인먼트월드(NEW)
마테호른	2014-01-09	24809500	3833	11	209	네덜란드	네덜란드	(재)전주국제영화제조직위원회
마파도	2005-03-10	16751202503	2636857	178	49473	한국	한국	씨제이엔터테인먼트(주)
마파도2	2007-01-18	8362778700	1407141	340	30784	한국	한국	씨제이엔터테인먼트(주)
마하 2.6: 풀스피드	2007-04-05	306920000	50443	95	4959	프랑스	프랑스	유니버설픽쳐스인터내셔널 코리아(유)
막달레나 시스터즈	2004-05-07	3206000	458	1	58	잉글랜드	잉글랜드	(주)인피니티엔터테인먼트
만남의 광장	2007-08-15	7819284000	1211528	256	28301	한국	한국	쇼박스㈜미디어플렉스
만덜레이	2007-07-26	7504000	1088	2	51	스웨덴	스웨덴	스폰지
만신	2014-03-06	270951300	36014	88	2838	한국	한국	(주)엣나인필름
만찬	2014-01-23	12978000	1885	20	426	한국	한국	㈜인디스토리
만추	2011-02-17	6313817000	845845	444	25590	한국	한국,미국,홍콩	씨제이엔터테인먼트(주)
만추	2011-02-17	16993900	2062	3	53	한국	한국,미국,홍콩	씨제이엔터테인먼트(주)
말라 노체	2007-03-29	11971000	1793	1	126	미국	미국	스폰지
말레피센트	2014-05-29	10772739900	1396899	554	38880	미국	미국	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
말리	2012-08-02	82679500	11073	13	389	미국	미국,영국	CGV 무비꼴라쥬
말리와 나	2009-02-19	1415054000	210270	210	10499	미국	미국	이십세기폭스코리아(주)
말아톤	2005-01-27	26284943000	4196840	238	59493	한국	한국	쇼박스㈜미디어플렉스
말죽거리 잔혹사	2004-01-16	3837152000	604969	40	5513	한국	한국	씨제이엔터테인먼트(주)
말하는 건축 시티:홀	2013-10-24	41505800	5619	31	729	한국	한국	(주)미디어데이
말하는 건축가	2012-03-08	309042700	39547	21	1612	한국	한국	(주)두타연,(주)미디어데이
말할 수 없는 비밀	2008-01-10	644407500	100059	37	4040	대만	대만,홍콩	(주)스폰지이엔티
맘마미아!	2008-09-03	29571255750	4552475	451	111024	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
맘마미아!	2008-09-03	103873000	20462	6	230	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
맘마미아!	2008-09-03	1923000	925	1	27	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
맛	2014-01-16	14002000	5057	19	40	한국	한국	(주)스크린다
맛있는 사랑공식-섹스	2013-10-31	8000000	5460	5	43	한국	한국	(주)케이알씨지
맛있는 인생	2010-10-28	6033000	871	4	151	한국	한국	(주)스폰지이엔티
망종	2006-03-24	16886400	2612	3	191	한국	한국,중국	(주)동숭아트센터
망종	2006-03-24	1792200	367	1	18	한국	한국,중국	(주)동숭아트센터
망치	2004-08-06	209407500	34805	32	1103	한국	한국	스폰지
망치	2004-08-06	4937000	1395	2	135	한국	한국	스폰지
매뉴얼 오브 러브	2008-02-14	34462500	5036	8	433	이탈리아	이탈리아	프리비젼엔터테인먼트
매니악 : 슬픈 살인의 기록	2013-07-04	20662000	2780	34	528	미국	미국	(주)퍼스트런
매드 디텍티브	2008-09-18	27546000	4061	5	351	홍콩	홍콩	프리비젼엔터테인먼트
매란방	2009-04-16	275367000	42723	185	6628	중국	중국	에스케이텔레콤(주)
매직 마이크	2012-08-01	204474500	27343	68	1228	미국	미국	(주)나이너스엔터테인먼트
매직 아워	2008-11-27	115419500	16907	15	654	일본	일본	씨제이엔터테인먼트(주)
