"","movie_nm","score","reg_date","contents"
"129","감기","10.0","2013.08.19","점은 아니지만 점대는 유지해야 하므로 "
"130","아이언맨 3","6.0","2013.08.19","영웅물 찍기엔 로다주 넘 늙은듯 볼만하긴한데 "
"131","숨바꼭질","10.0","2013.08.19","재미 잇다 "
"132","화차","6.0","2013.08.19","미스터리물장르치고는 반전도 없다뻔한 스토리전개에 정해진 결론 "
"133","더 테러 라이브","9.0","2013.08.19","하정우 연기력 짱 볼만 합니다 한강다리도 실감나게 폭파됨 "
"134","숨바꼭질","1.0","2013.08.19","억지스런 줄거리와 개연성 단지 손현주의 이름만으로 관객 유치하는 영화 황금의 제국이나 열심히 봐야겠다 "
"135","은밀하게 위대하게","1.0","2013.08.19","괜찮은 원작들을 영화화 할땐 정성을 좀 들이라 영화 만들어 놓구 안부끄럽데요 "
"136","송 포 유","9.0","2013.08.19","마지막 결말이 우리나라 영화처럼 질질 끌지않고 쿨하게 끝나서 좋았다 "
"137","감기","10.0","2013.08.19","재미있어요 감동받아요 "
"138","아리랑","9.0","2013.08.19","감동적이에요 ㅠㅠ "
"139","나에게서 온 편지","8.0","2013.08.19","내 어릴적 친구들은 어디서 무얼할까 프랑스영화 특유의 멜랑코리한 감성을 느낄 수있는 영화소중했던 어릴 적 추억을 잊고 살지 않았는지엔딩을 조용히 장식하던 샹송추억 귀퉁이에 있던 친구들을 만나보고 싶다면 강추 "
"140","숨바꼭질","5.0","2013.08.19","생각보다 재미없었음감기보다 별로인것 같아요 "
"141","숨바꼭질","0.0","2013.08.19","완전 개쓰레기 영화 "
"142","괴물","9.0","2013.08.19","지금 다시 봐도 흥미진진 봉준호의 힘 "
"143","숨바꼭질","10.0","2013.08.19","영화 재미없다고 댓글 쓰신분들물론 다 개인소견이지만저는 어제 애들하고 영화보면서 이렇게 세어나오는 비명을 입을 틀어막으면서 영화본건 처음입니다글구 집에 와서도 베란다까지 불다켜놓고 무섭다고 난리아닌 난리치면서 ㅋㅋ너무 재미나게 봤습니다보셨으면합니다 "
"144","감기","10.0","2013.08.19","반신반의 하고 봤는데 의외로 재미있더군요아역배우 박민하 양도 연기 잘하더군요아주 재미있게 봤습니다연가시 같을거라 생각했는데 또다른 재미가 있더군요 "
"145","더 테러 라이브","2.0","2013.08.19","억지스러운 스토리현실성 떨어지는 상황배우들의 억지스러운 오바연기관객으로 하여금 상황에 대한 설명이 스토리로 전달이 안돼고 왠지 오바 스러운 연기로 스토리를 강요하는듯함한마디로 재미없음 "
"146","감기","9.0","2013.08.19","바이러스의대한 무서움이 한층더 실감 "
"147","더 테러 라이브","10.0","2013.08.19","기대를 안하고 갔는데 예상밖이었어요 너무 잘 봤어요 카메라워크도 긴장감도 최고였구요 저는 너무 몰입해서 체할 뻔 했어요 하정우씨 연기력이 대단하다고 느낍니다 "
"148","감기","7.0","2013.08.19","정유정 작가의 소설 과 비슷한 부분이 너무 많아서 놀랬음 장혁은 사기캐릭터임 가족도 아닌데 누가 그렇게 목숨 걸고 지키나 남는건 종합운동장 장면밖에 없는데 충격적이었음 나쁘진 않았는데 그렇다고 좋지도 않아 "
"149","숨바꼭질","5.0","2013.08.19","연기자들의 연기는 좋았지만 중반에 들어설수록 긴장감은 떨어지고 마지막 부분엔 웃음마저 난 영화 그래도 같이 본 중학생인 딸은 재밌었다고 하니 그나마 점 "
"150","숨바꼭질","4.0","2013.08.19","보는 내내 불쾌하고 개짜증나던 영화임 아오 "
"151","숨바꼭질","10.0","2013.08.19","그냥 대박 보삼 "
"152","감기","10.0","2013.08.19","나만 당할순 없다 "
"153","설국열차","6.0","2013.08.19","초등학생이 보기에는 정서에 좋지 않음 폭력장면이 잔인함 인간의 소중함이 없음 인간들끼리 싸우다가 파멸함 "
"154","감기","9.0","2013.08.19","전시작전권대한민국 대통령 명령은 어디로 전쟁나면 정치인들이나 군 장성들은 꼭 저렇게 미국 눈치나 보고 있을것을 생각하니 마음이 먹먹하네요영화는 영화로 재밌게 봐야 되는데 현실이 안따깝네요 "
"155","감기","10.0","2013.08.19","스토리탄탄하고 연기력좋고 이영화 오랜만에 재미있게봄 대박치겠다 "
"156","설국열차","7.0","2013.08.19","점 영화 "
"157","숨바꼭질","1.0","2013.08.19","연기 부분은 좋았다하지만 전체적인 구성 및 전계부분이 너무 억지스럽고 긴장감도 전혀 없고 무슨 류 영화 한편 보는 줄 알았다 어느정도 상황설정이 맞아야지 최악의 영화 "
